Gene ID,Product Description,Gene Type
AARA002232,unspecified product,protein coding gene
AARA002233,unspecified product,protein coding gene
AARA002234,unspecified product,protein coding gene
AARA002235,3-hydroxyisobutyrate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A182HWY2],protein coding gene
AARA002236,chchd10 [Source:Projected from Anopheles gambiae (AGAP005580) VB Community Annotation],protein coding gene
AARA002237,"WD repeat, sterile alpha motif and U-box domain containing [Source:Projected from Anopheles gambiae (AGAP005577) VB Community Annotation]",protein coding gene
AARA002238,anaphase-promoting complex subunit [Source:Projected from Anopheles gambiae (AGAP005578) VB Community Annotation],protein coding gene
AARA002239,aspartyl-tRNA synthetase [Source:Projected from Anopheles gambiae (AGAP005576) VB Community Annotation],protein coding gene
AARA002241,unspecified product,protein coding gene
AARA002244,unspecified product,protein coding gene
AARA002245,bone morphogenetic protein receptor type-2 [Source:Projected from Anopheles gambiae (AGAP005567) VB Community Annotation],protein coding gene
AARA002246,unspecified product,protein coding gene
AARA002247,unspecified product,protein coding gene
AARA002248,unspecified product,protein coding gene
AARA002255,unspecified product,protein coding gene
AARA002256,microspherule protein [Source:Projected from Anopheles gambiae (AGAP005560) VB Community Annotation],protein coding gene
AARA002257,26S proteasome 26S non-ATPase subunit N10 [Source:Projected from Anopheles gambiae (AGAP005559) VB Community Annotation],protein coding gene
AARA002258,peptidase (mitochondrial processing) beta [Source:Projected from Anopheles gambiae (AGAP005558) VB Community Annotation],protein coding gene
AARA002259,xenotropic and polytropic retrovirus receptor [Source:Projected from Anopheles gambiae (AGAP005557) VB Community Annotation],protein coding gene
AARA002262,CTCF-like protein [Source:Projected from Anopheles gambiae (AGAP005555) VB Community Annotation],protein coding gene
AARA002263,cellular retinaldehyde binding protein [Source:Projected from Anopheles gambiae (AGAP005553) VB Community Annotation],protein coding gene
AARA002264,peptidoglycan recognition protein (long) [Source:Projected from Anopheles gambiae (AGAP005552) VB Community Annotation],protein coding gene
AARA002265,unspecified product,protein coding gene
AARA002266,unspecified product,protein coding gene
AARA002267,Pre-mRNA-splicing factor rse1 [Source:Projected from Anopheles gambiae (AGAP005549) VB Community Annotation],protein coding gene
AARA002268,unspecified product,protein coding gene
AARA002269,unspecified product,protein coding gene
AARA002270,unspecified product,protein coding gene
AARA002271,unspecified product,protein coding gene
AARA002273,protein Jumonji [Source:Projected from Anopheles gambiae (AGAP005541) VB Community Annotation],protein coding gene
AARA002274,Ubiquitin carboxyl-terminal hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A182HLZ2],protein coding gene
AARA002276,translin [Source:Projected from Anopheles gambiae (AGAP005538) VB Community Annotation],protein coding gene
AARA002278,26S proteasome 26S non-ATPase subunit N5 [Source:Projected from Anopheles gambiae (AGAP005535) VB Community Annotation],protein coding gene
AARA002279,unspecified product,protein coding gene
AARA002280,unspecified product,protein coding gene
AARA002281,Dehydrogenase/reductase SDR family protein 7-like [Source:Projected from Anopheles gambiae (AGAP005532) UniProtKB/Swiss-Prot;Acc:Q7Q732],protein coding gene
AARA002284,ionotropic receptor NMDAR3 [Source:Projected from Anopheles gambiae (AGAP005527) VB Community Annotation],protein coding gene
AARA002285,cubilin [Source:Projected from Anopheles gambiae (AGAP005526) VB Community Annotation],protein coding gene
AARA002286,unspecified product,protein coding gene
AARA002289,serine/threonine kinase [Source:Projected from Anopheles gambiae (AGAP005521) VB Community Annotation],protein coding gene
AARA002290,cytochrome b-561 [Source:Projected from Anopheles gambiae (AGAP005520) VB Community Annotation],protein coding gene
AARA002292,unspecified product,protein coding gene
AARA002293,Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A182HM10],protein coding gene
AARA002294,Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A182HM11],protein coding gene
AARA002295,Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL;Acc:A0A182HM13],protein coding gene
AARA002296,Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL;Acc:A0A182HM13],protein coding gene
AARA002298,Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL;Acc:A0A182HM15],protein coding gene
AARA002301,Ufm1-specific protease [Source:Projected from Anopheles gambiae (AGAP005509) VB Community Annotation],protein coding gene
AARA002302,unspecified product,protein coding gene
AARA002305,unspecified product,protein coding gene
AARA002306,"Boule, transcript variant B [Source:Projected from Anopheles gambiae (AGAP005506) VB Community Annotation]",protein coding gene
AARA002307,RNA-binding protein [Source:Projected from Anopheles gambiae (AGAP005505) VB Community Annotation],protein coding gene
AARA002308,phospholipid scramblase [Source:Projected from Anopheles gambiae (AGAP005504) VB Community Annotation],protein coding gene
AARA002310,dehydrogenase/reductase SDR family member 11 precursor [Source:Projected from Anopheles gambiae (AGAP005499) VB Community Annotation],protein coding gene
AARA002311,Phospholipid scramblase [Source:UniProtKB/TrEMBL;Acc:A0A182HM28],protein coding gene
AARA002312,unspecified product,protein coding gene
AARA002313,leucine rich immune protein (Short),protein coding gene
AARA002315,unspecified product,protein coding gene
AARA002316,unspecified product,protein coding gene
AARA002317,"Voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:Projected from Anopheles gambiae (AGAP005490) UniProtKB/TrEMBL;Acc:A0A1S4GQ08]",protein coding gene
AARA002320,"39S ribosomal protein L50, mitochondrial [Source:Projected from Anopheles gambiae (AGAP005486) VB Community Annotation]",protein coding gene
AARA002322,transcription factor grauzone [Source:Projected from Anopheles gambiae (AGAP005479) VB Community Annotation],protein coding gene
AARA002324,unspecified product,protein coding gene
AARA002325,unspecified product,protein coding gene
AARA002329,unspecified product,protein coding gene
AARA002330,S10e ribosomal protein [Source:Projected from Anopheles gambiae (AGAP005469) VB Community Annotation],protein coding gene
AARA002331,unspecified product,protein coding gene
AARA002332,vigilin [Source:Projected from Anopheles gambiae (AGAP005467) VB Community Annotation],protein coding gene
AARA002333,ionotropic receptor IR75l [Source:Projected from Anopheles gambiae (AGAP005466) VB Community Annotation],protein coding gene
AARA002338,unspecified product,protein coding gene
AARA002339,unspecified product,protein coding gene
AARA002340,unspecified product,protein coding gene
AARA002341,phosphopantetheine adenylyltransferase / dephospho-CoA kinase [Source:Projected from Anopheles gambiae (AGAP005460) VB Community Annotation],protein coding gene
AARA002342,cuticular protein RR-2 family 16,protein coding gene
AARA002343,unspecified product,protein coding gene
AARA002344,cuticular protein RR-2 family 15,protein coding gene
AARA002345,cuticular protein RR-2 family 14,protein coding gene
AARA002346,cuticular protein RR-1 family [Source:Projected from Anopheles gambiae (AGAP005454) VB Community Annotation],protein coding gene
AARA002347,cuticular protein RR-2 family 11,protein coding gene
AARA002348,unspecified product,protein coding gene
AARA002352,B9 domain-containing protein [Source:Projected from Anopheles gambiae (AGAP005448) VB Community Annotation],protein coding gene
AARA002354,unspecified product,protein coding gene
AARA002355,unspecified product,protein coding gene
AARA002356,ribosome biogenesis protein MAK21 [Source:Projected from Anopheles gambiae (AGAP005438) VB Community Annotation],protein coding gene
AARA002357,unspecified product,protein coding gene
AARA002358,Iodotyrosine dehalogenase [Source:Projected from Anopheles gambiae (AGAP005435) VB Community Annotation],protein coding gene
AARA002359,unspecified product,protein coding gene
AARA002360,unspecified product,protein coding gene
AARA002361,unspecified product,protein coding gene
AARA002362,unspecified product,protein coding gene
AARA002363,Carboxypeptidase [Source:UniProtKB/TrEMBL;Acc:A0A182HM77],protein coding gene
AARA002364,programmed cell death protein [Source:Projected from Anopheles gambiae (AGAP005432) VB Community Annotation],protein coding gene
AARA002365,thioredoxin domain-containing protein [Source:Projected from Anopheles gambiae (AGAP005431) VB Community Annotation],protein coding gene
AARA002366,unspecified product,protein coding gene
AARA002367,THO complex subunit 6,protein coding gene
AARA002368,Transcription elongation factor SPT4 [Source:UniProtKB/TrEMBL;Acc:A0A182HM82],protein coding gene
AARA002369,60S ribosomal protein L28 [Source:Projected from Anopheles gambiae (AGAP005427) VB Community Annotation],protein coding gene
AARA002370,actin-binding LIM protein [Source:Projected from Anopheles gambiae (AGAP005425) VB Community Annotation],protein coding gene
AARA002371,unspecified product,protein coding gene
AARA002372,unspecified product,protein coding gene
AARA002373,26S proteasome alpha 4 subunit,protein coding gene
AARA002374,unspecified product,protein coding gene
AARA002375,mitochondrial inner membrane protein OXA1L [Source:Projected from Anopheles gambiae (AGAP005421) VB Community Annotation],protein coding gene
AARA002376,unspecified product,protein coding gene
AARA002377,"NADPH:adrenodoxin oxidoreductase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A182HM91]",protein coding gene
AARA002378,aminoacyl tRNA synthase complex-interacting multifunctional protein [Source:Projected from Anopheles gambiae (AGAP005418) VB Community Annotation],protein coding gene
AARA002379,protein singed wings [Source:Projected from Anopheles gambiae (AGAP005417) VB Community Annotation],protein coding gene
AARA002380,unspecified product,protein coding gene
AARA002381,FtsJ methyltransferase domain-containing protein [Source:Projected from Anopheles gambiae (AGAP005415) VB Community Annotation],protein coding gene
AARA002382,misexpression suppressor of ras [Source:Projected from Anopheles gambiae (AGAP005414) VB Community Annotation],protein coding gene
AARA002383,survival of motor neuron protein-interacting protein [Source:Projected from Anopheles gambiae (AGAP005413) VB Community Annotation],protein coding gene
AARA002384,unspecified product,protein coding gene
AARA002390,unspecified product,protein coding gene
AARA002391,unspecified product,protein coding gene
AARA002392,unspecified product,protein coding gene
AARA002393,RNA exonuclease [Source:Projected from Anopheles gambiae (AGAP005406) VB Community Annotation],protein coding gene
AARA002394,"solute carrier family 39 (zinc transporter), member [Source:Projected from Anopheles gambiae (AGAP005405) VB Community Annotation]",protein coding gene
AARA002395,"lectin, mannose-binding [Source:Projected from Anopheles gambiae (AGAP005404) VB Community Annotation]",protein coding gene
AARA002396,coiled-coil domain-containing protein [Source:Projected from Anopheles gambiae (AGAP005402) VB Community Annotation],protein coding gene
AARA002397,karyopherin (Importin) alpha [Source:Projected from Anopheles gambiae (AGAP005401) VB Community Annotation],protein coding gene
AARA002400,unspecified product,protein coding gene
AARA002401,unspecified product,protein coding gene
AARA002402,unspecified product,protein coding gene
AARA002403,unspecified product,protein coding gene
AARA002404,unspecified product,protein coding gene
AARA002406,Ras-related protein Rab-2A [Source:Projected from Anopheles gambiae (AGAP005393) VB Community Annotation],protein coding gene
AARA002407,Post-GPI attachment to proteins factor 3 [Source:UniProtKB/TrEMBL;Acc:A0A182HMC1],protein coding gene
AARA002408,ATP-dependent RNA helicase DDX20 [Source:Projected from Anopheles gambiae (AGAP005391) VB Community Annotation],protein coding gene
AARA002409,unspecified product,protein coding gene
AARA002411,unspecified product,protein coding gene
AARA002413,Transcription initiation factor IIE subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A182HMC7],protein coding gene
AARA002414,hexosaminidase [Source:Projected from Anopheles gambiae (AGAP005381) VB Community Annotation],protein coding gene
AARA002415,unspecified product,protein coding gene
AARA002416,unspecified product,protein coding gene
AARA002420,unspecified product,protein coding gene
AARA002421,nonsense-mediated mRNA decay protein [Source:Projected from Anopheles gambiae (AGAP005375) VB Community Annotation],protein coding gene
AARA002422,unspecified product,protein coding gene
AARA002424,unspecified product,protein coding gene
AARA002425,unspecified product,protein coding gene
AARA002428,serine/arginine repetitive matrix protein [Source:Projected from Anopheles gambiae (AGAP005366) VB Community Annotation],protein coding gene
AARA002429,ribosome biogenesis protein BRX1 [Source:Projected from Anopheles gambiae (AGAP005365) VB Community Annotation],protein coding gene
AARA002430,protein BAT5 [Source:Projected from Anopheles gambiae (AGAP005364) VB Community Annotation],protein coding gene
AARA002433,unspecified product,protein coding gene
AARA002437,biogenesis of lysosome-related organelles complex 1 subunit [Source:Projected from Anopheles gambiae (AGAP005353) VB Community Annotation],protein coding gene
AARA002438,unspecified product,protein coding gene
AARA002440,unspecified product,protein coding gene
AARA002441,DEAD box polypeptide [Source:Projected from Anopheles gambiae (AGAP005351) VB Community Annotation],protein coding gene
AARA002442,unspecified product,protein coding gene
AARA002443,unspecified product,protein coding gene
AARA002445,unspecified product,protein coding gene
AARA002446,unspecified product,protein coding gene
AARA002447,Vacuolar protein sorting-associated protein 28 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182HMG1],protein coding gene
AARA002449,myotubularin related protein [Source:Projected from Anopheles gambiae (AGAP005341) VB Community Annotation],protein coding gene
AARA002450,unspecified product,protein coding gene
AARA002451,unspecified product,protein coding gene
AARA002452,chitinase [Source:Projected from Anopheles gambiae (AGAP005339) VB Community Annotation],protein coding gene
AARA002453,chitinase [Source:Projected from Anopheles gambiae (AGAP005337) VB Community Annotation],protein coding gene
AARA002454,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member [Source:Projected from Anopheles gambiae (AGAP005336) VB Community Annotation],protein coding gene
AARA002455,C-type lectin (CTL) [Source:Projected from Anopheles gambiae (AGAP005335) VB Community Annotation],protein coding gene
AARA002459,regulation of nuclear pre-mRNA domain containing 1A [Source:Projected from Anopheles gambiae (AGAP005331) VB Community Annotation],protein coding gene
AARA002460,outer segment 2,protein coding gene
AARA002461,unspecified product,protein coding gene
AARA002462,unspecified product,protein coding gene
AARA002463,ribonuclease UK114 [Source:Projected from Anopheles gambiae (AGAP005327) VB Community Annotation],protein coding gene
AARA002464,unspecified product,protein coding gene
AARA002465,spermine synthase [Source:Projected from Anopheles gambiae (AGAP005325) VB Community Annotation],protein coding gene
AARA002466,ubiquitin-conjugating enzyme E2 W [Source:Projected from Anopheles gambiae (AGAP005324) VB Community Annotation],protein coding gene
AARA002467,D-aspartate oxidase [Source:Projected from Anopheles gambiae (AGAP005323) VB Community Annotation],protein coding gene
AARA002468,serine/threonine-protein kinase SRPK1 [Source:Projected from Anopheles gambiae (AGAP005322) VB Community Annotation],protein coding gene
AARA002469,unspecified product,protein coding gene
AARA002470,chromatin licensing and DNA replication factor [Source:Projected from Anopheles gambiae (AGAP005321) VB Community Annotation],protein coding gene
AARA002471,U3 small nucleolar RNA-interacting protein [Source:Projected from Anopheles gambiae (AGAP005320) VB Community Annotation],protein coding gene
AARA002472,unspecified product,protein coding gene
AARA002475,U6 snRNA-associated Sm-like protein LSm6 [Source:Projected from Anopheles gambiae (AGAP005314) VB Community Annotation],protein coding gene
AARA002476,unspecified product,protein coding gene
AARA002477,unspecified product,protein coding gene
AARA002480,unspecified product,protein coding gene
AARA002481,unspecified product,protein coding gene
AARA002482,unspecified product,protein coding gene
AARA002483,unspecified product,protein coding gene
AARA002484,unspecified product,protein coding gene
AARA002485,unspecified product,protein coding gene
AARA002486,unspecified product,protein coding gene
AARA002487,pre-mRNA-processing factor [Source:Projected from Anopheles gambiae (AGAP005640) VB Community Annotation],protein coding gene
AARA002488,aldehyde oxidase [Source:Projected from Anopheles gambiae (AGAP005637) VB Community Annotation],protein coding gene
AARA002489,nucleolar complex protein [Source:Projected from Anopheles gambiae (AGAP010308) VB Community Annotation],protein coding gene
AARA002490,"Pleckstrin homology domain containing, family F (with FYVE domain) member [Source:Projected from Anopheles gambiae (AGAP010307) VB Community Annotation]",protein coding gene
AARA002491,unspecified product,protein coding gene
AARA002492,unspecified product,protein coding gene
AARA002493,unspecified product,protein coding gene
AARA002494,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMK8],protein coding gene
AARA002495,Probable methylthioribulose-1-phosphate dehydratase [Source:UniProtKB/TrEMBL;Acc:A0A182HMK9],protein coding gene
AARA002496,F-box and leucine-rich repeat protein [Source:Projected from Anopheles gambiae (AGAP000471) VB Community Annotation],protein coding gene
AARA002497,serine/threonine-protein kinase ATR [Source:Projected from Anopheles gambiae (AGAP010313) VB Community Annotation],protein coding gene
AARA002498,ATP-dependent RNA helicase DDX42 [Source:Projected from Anopheles gambiae (AGAP012523) VB Community Annotation],protein coding gene
AARA002499,unspecified product,protein coding gene
AARA002500,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:A0A182HML4],protein coding gene
AARA002501,unspecified product,protein coding gene
AARA002502,unspecified product,protein coding gene
AARA002503,unspecified product,protein coding gene
AARA002504,unspecified product,protein coding gene
AARA002505,unspecified product,protein coding gene
AARA002506,unspecified product,protein coding gene
AARA002507,cytochrome P450,protein coding gene
AARA002508,nuclear receptor subfamily 2 group E member (Tailless) [Source:Projected from Anopheles gambiae (AGAP000819) VB Community Annotation],protein coding gene
AARA002509,cuticular protein RR-2 family [Source:Projected from Anopheles gambiae (AGAP000820) VB Community Annotation],protein coding gene
AARA002511,Tetraspanin [Source:UniProtKB/TrEMBL;Acc:A0A182HMM5],protein coding gene
AARA002512,bone morphogenetic protein [Source:Projected from Anopheles gambiae (AGAP000824) VB Community Annotation],protein coding gene
AARA002513,unspecified product,protein coding gene
AARA002515,short caspase [Source:Projected from Anopheles gambiae (AGAP000830) VB Community Annotation],protein coding gene
AARA002516,J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMN0],protein coding gene
AARA002517,Derlin [Source:UniProtKB/TrEMBL;Acc:A0A182HMN1],protein coding gene
AARA002518,unspecified product,protein coding gene
AARA002519,unspecified product,protein coding gene
AARA002522,OTU domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMN6],protein coding gene
AARA002523,unspecified product,protein coding gene
AARA002524,unspecified product,protein coding gene
AARA002525,Ras-related protein Rab-40 [Source:Projected from Anopheles gambiae (AGAP000841) VB Community Annotation],protein coding gene
AARA002526,unspecified product,protein coding gene
AARA002527,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor [Source:Projected from Anopheles gambiae (AGAP000842) VB Community Annotation]",protein coding gene
AARA002528,unspecified product,protein coding gene
AARA002529,unspecified product,protein coding gene
AARA002534,NADH dehydrogenase (ubiquinone) 1 beta subcomplex [Source:Projected from Anopheles gambiae (AGAP000849) VB Community Annotation],protein coding gene
AARA002535,syntaxin [Source:Projected from Anopheles gambiae (AGAP000850) VB Community Annotation],protein coding gene
AARA002536,"cytochrome c oxidase subunit 6a, mitochrondrial [Source:Projected from Anopheles gambiae (AGAP000851) VB Community Annotation]",protein coding gene
AARA002537,Small ubiquitin-related modifier [Source:UniProtKB/TrEMBL;Acc:A0A182HMQ1],protein coding gene
AARA002538,gamma-glutamyltranspeptidase [Source:Projected from Anopheles gambiae (AGAP000853) VB Community Annotation],protein coding gene
AARA002539,G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMQ3],protein coding gene
AARA002540,unspecified product,protein coding gene
AARA002541,tRNA-dihydrouridine synthase [Source:Projected from Anopheles gambiae (AGAP000856) VB Community Annotation],protein coding gene
AARA002542,"39S ribosomal protein L3, mitochondrial",protein coding gene
AARA002543,unspecified product,protein coding gene
AARA002544,unspecified product,protein coding gene
AARA002545,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMQ9],protein coding gene
AARA002546,unspecified product,protein coding gene
AARA002550,unspecified product,protein coding gene
AARA002551,"alpha 1,3-glucosidase [Source:Projected from Anopheles gambiae (AGAP000862) VB Community Annotation]",protein coding gene
AARA002554,unspecified product,protein coding gene
AARA002557,"beta-1,4-mannosyltransferase egghead protein [Source:Projected from Anopheles gambiae (AGAP000868) VB Community Annotation]",protein coding gene
AARA002558,unspecified product,protein coding gene
AARA002559,unspecified product,protein coding gene
AARA002561,unspecified product,protein coding gene
AARA002562,achaete-scute complex protein [Source:Projected from Anopheles gambiae (AGAP000876) VB Community Annotation],protein coding gene
AARA002563,cytochrome P450,protein coding gene
AARA002564,achaete-scute complex protein [Source:Projected from Anopheles gambiae (AGAP000878) VB Community Annotation],protein coding gene
AARA002565,unspecified product,protein coding gene
AARA002566,unspecified product,protein coding gene
AARA002567,unspecified product,protein coding gene
AARA002568,unspecified product,protein coding gene
AARA002569,unspecified product,protein coding gene
AARA002570,USP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMT4],protein coding gene
AARA002571,unspecified product,protein coding gene
AARA002572,Palmitoyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A182HMT6],protein coding gene
AARA002573,Xaa-Pro aminopeptidase [Source:Projected from Anopheles gambiae (AGAP000887) VB Community Annotation],protein coding gene
AARA002574,glutathione S-transferase,protein coding gene
AARA002575,Coactosin-like protein [Source:Projected from Anopheles gambiae (AGAP000889) VB Community Annotation],protein coding gene
AARA002576,unspecified product,protein coding gene
AARA002577,SAC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMU1],protein coding gene
AARA002578,unspecified product,protein coding gene
AARA002579,unspecified product,protein coding gene
AARA002583,unspecified product,protein coding gene
AARA002584,"coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial [Source:Projected from Anopheles gambiae (AGAP000897) VB Community Annotation]",protein coding gene
AARA002586,PA2c domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMV0],protein coding gene
AARA002587,unspecified product,protein coding gene
AARA002588,Aminotran_1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMV2],protein coding gene
AARA002589,unspecified product,protein coding gene
AARA002592,unspecified product,protein coding gene
AARA002593,unspecified product,protein coding gene
AARA002594,Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMV8],protein coding gene
AARA002595,unspecified product,protein coding gene
AARA002598,unspecified product,protein coding gene
AARA002599,unspecified product,protein coding gene
AARA002600,DUF1681 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMW4],protein coding gene
AARA002601,unspecified product,protein coding gene
AARA002602,SAM-dependent MTase TRM10-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMW6],protein coding gene
AARA002603,unspecified product,protein coding gene
AARA002604,Lysine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:A0A182HMW8],protein coding gene
AARA002605,unspecified product,protein coding gene
AARA002606,Tyrosine aminotransferase [Source:UniProtKB/TrEMBL;Acc:A0A182HMX0],protein coding gene
AARA002608,unspecified product,protein coding gene
AARA002609,unspecified product,protein coding gene
AARA002610,low density lipoprotein-related protein 2] [Source:Projected from Anopheles gambiae (AGAP000331) VB Community Annotation],protein coding gene
AARA002611,VIR_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMX5],protein coding gene
AARA002612,unspecified product,protein coding gene
AARA002613,transcription initiation factor TFIID TATA-box-binding protein [Source:Projected from Anopheles gambiae (AGAP000336) VB Community Annotation],protein coding gene
AARA002614,unspecified product,protein coding gene
AARA002615,unspecified product,protein coding gene
AARA002616,E3 ubiquitin-protein ligase Hakai [Source:Projected from Anopheles gambiae (AGAP000339) VB Community Annotation],protein coding gene
AARA002617,LRRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMY1],protein coding gene
AARA002618,Galectin [Source:UniProtKB/TrEMBL;Acc:A0A182HMY2],protein coding gene
AARA002619,TGF_BETA_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMY3],protein coding gene
AARA002620,vacuolar protein sorting [Source:Projected from Anopheles gambiae (AGAP000343) VB Community Annotation],protein coding gene
AARA002621,unspecified product,protein coding gene
AARA002622,cuticular protein RR-1 family [Source:Projected from Anopheles gambiae (AGAP000344) VB Community Annotation],protein coding gene
AARA002626,unspecified product,protein coding gene
AARA002627,unspecified product,protein coding gene
AARA002628,unspecified product,protein coding gene
AARA002629,unspecified product,protein coding gene
AARA002630,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HMZ4],protein coding gene
AARA002631,unspecified product,protein coding gene
AARA002632,unspecified product,protein coding gene
AARA002633,transcription elongation regulator [Source:Projected from Anopheles gambiae (AGAP004745) VB Community Annotation],protein coding gene
AARA002634,succinyl-CoA ligase beta subunit,protein coding gene
AARA002635,Transmembrane emp24 domain-containing protein [Source:Projected from Anopheles gambiae (AGAP004743) VB Community Annotation],protein coding gene
AARA002636,unspecified product,protein coding gene
AARA002637,unspecified product,protein coding gene
AARA002638,unspecified product,protein coding gene
AARA002639,unspecified product,protein coding gene
AARA002641,Probable lysine-specific histone demethylase 1 [Source:UniProtKB/TrEMBL;Acc:A0A182HN05],protein coding gene
AARA002642,unspecified product,protein coding gene
AARA002643,unspecified product,protein coding gene
AARA002644,unspecified product,protein coding gene
AARA002645,Dipeptidase [Source:UniProtKB/TrEMBL;Acc:A0A182HN09],protein coding gene
AARA002646,"AAA family ATPase, CDC48 subfamily protein [Source:Projected from Anopheles gambiae (AGAP011652) VB Community Annotation]",protein coding gene
AARA002647,unspecified product,protein coding gene
AARA002648,unspecified product,protein coding gene
AARA002649,unspecified product,protein coding gene
AARA002650,unspecified product,protein coding gene
AARA002651,unspecified product,protein coding gene
AARA002652,unspecified product,protein coding gene
AARA002653,"inositol-1,4,5-trisphosphate 5-phosphatase [Source:Projected from Anopheles gambiae (AGAP011644) VB Community Annotation]",protein coding gene
AARA002654,methuselah-like [Source:Projected from Anopheles gambiae (AGAP011643) VB Community Annotation],protein coding gene
AARA002655,unspecified product,protein coding gene
AARA002656,unspecified product,protein coding gene
AARA002658,unspecified product,protein coding gene
AARA002659,unspecified product,protein coding gene
AARA002660,unspecified product,protein coding gene
AARA002661,unspecified product,protein coding gene
AARA002662,unspecified product,protein coding gene
AARA002663,U1 small nuclear ribonucleoprotein A,protein coding gene
AARA002664,unspecified product,protein coding gene
AARA002665,"39S ribosomal protein L35, mitochondrial",protein coding gene
AARA002666,Fumarylacetoacetate hydrolase domain containing 2A [Source:Projected from Anopheles gambiae (AGAP011634) VB Community Annotation],protein coding gene
AARA002667,unspecified product,protein coding gene
AARA002668,odorant receptor,protein coding gene
AARA002669,unspecified product,protein coding gene
AARA002670,unspecified product,protein coding gene
AARA002671,unspecified product,protein coding gene
AARA002672,Dihydrolipoyl dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A182HN36],protein coding gene
AARA002675,mediator of RNA polymerase II transcription subunit 19,protein coding gene
AARA002676,"transcription factor AP-2, invertebrate [Source:Projected from Anopheles gambiae (AGAP011625) VB Community Annotation]",protein coding gene
AARA002677,unspecified product,protein coding gene
AARA002678,unspecified product,protein coding gene
AARA002679,Retina aberrant in pattern [Source:Projected from Anopheles gambiae (AGAP011622) UniProtKB/TrEMBL;Acc:A0A1S4H876],protein coding gene
AARA002680,unspecified product,protein coding gene
AARA002682,"collagen, type I/II/III/V/XI/XXIV/XXVII alpha [Source:Projected from Anopheles gambiae (AGAP011620) VB Community Annotation]",protein coding gene
AARA002683,unspecified product,protein coding gene
AARA002690,unspecified product,protein coding gene
AARA002693,Pickpocket [Source:Projected from Anopheles gambiae (AGAP011611) VB Community Annotation],protein coding gene
AARA002694,"amiloride-sensitive sodium channel, other [Source:Projected from Anopheles gambiae (AGAP011610) VB Community Annotation]",protein coding gene
AARA002698,unspecified product,protein coding gene
AARA002699,unspecified product,protein coding gene
AARA002700,unspecified product,protein coding gene
AARA002701,unspecified product,protein coding gene
AARA002703,unspecified product,protein coding gene
AARA002704,unspecified product,protein coding gene
AARA002705,unspecified product,protein coding gene
AARA002706,unspecified product,protein coding gene
AARA002707,Anionic trypsin-1 precursor [Source:Projected from Anopheles gambiae (AGAP011590) VB Community Annotation],protein coding gene
AARA002709,kelch-like protein diablo [Source:Projected from Anopheles gambiae (AGAP011587) VB Community Annotation],protein coding gene
AARA002710,Protein-tyrosine phosphatase [Source:Projected from Anopheles gambiae (AGAP011586) UniProtKB/TrEMBL;Acc:A0A1S4H724],protein coding gene
AARA002711,unspecified product,protein coding gene
AARA002713,unspecified product,protein coding gene
AARA002714,39S mitochondrial ribosomal protein L12,protein coding gene
AARA002715,Eukaryotic translation initiation factor 3 subunit K [Source:UniProtKB/TrEMBL;Acc:A0A182HN79],protein coding gene
AARA002716,unspecified product,protein coding gene
AARA002718,carboxylesterase [Source:Projected from Anopheles gambiae (AGAP011575) VB Community Annotation],protein coding gene
