Geneid,Gene Type,Product Description
AGAP002228,protein coding gene,unspecified product
AGAP002229,protein coding gene,putative G-protein coupled receptor GPCR
AGAP002231,protein coding gene,Histone acetyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QK98]
AGAP002232,protein coding gene,putative serotonin 5HT-2a receptor
AGAP002234,protein coding gene,nuclear receptor
AGAP002235,protein coding gene,GATA-binding protein 4/5/6
AGAP002236,protein coding gene,unspecified product
AGAP002238,protein coding gene,unspecified product
AGAP002239,protein coding gene,Diamine acetyltransferase 1
AGAP002240,protein coding gene,unspecified product
AGAP002241,protein coding gene,unspecified product
AGAP002242,protein coding gene,unspecified product
AGAP002243,protein coding gene,ankyrin repeat and FYVE domain-containing protein 1
AGAP002244,protein coding gene,unspecified product
AGAP002245,protein coding gene,"cytochrome b-c1 complex subunit 6, mitochondrial"
AGAP002246,protein coding gene,histone-lysine N-methyltransferase SETD1
AGAP002247,protein coding gene,Mediator of RNA polymerase II transcription subunit 21 [Source:UniProtKB/Swiss-Prot;Acc:Q7PTL0]
AGAP002248,protein coding gene,kinesin family member C1
AGAP002250,protein coding gene,calcium/calmodulin-dependent protein kinase kinase
AGAP002251,protein coding gene,ubiquitin-conjugating enzyme E2 G1
AGAP002253,protein coding gene,TatD DNase family protein
AGAP002256,protein coding gene,RNA-binding protein 7
AGAP002257,protein coding gene,tetraspanin 14
AGAP002258,protein coding gene,mediator of RNA polymerase II transcription subunit 31
AGAP002259,protein coding gene,Structure-specific endonuclease subunit SLX1 homolog [Source:UniProtKB/TrEMBL;Acc:A0A1S4GED8]
AGAP002260,protein coding gene,WD repeat-containing protein 40A
AGAP002261,protein coding gene,Ras GTPase-activating protein 3
AGAP002262,protein coding gene,Adenylate cyclase 8 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GF11]
AGAP002263,protein coding gene,choline-phosphate cytidylyltransferase
AGAP002264,protein coding gene,unspecified product
AGAP002265,protein coding gene,"splicing factor, arginine/serine-rich 12"
AGAP002266,protein coding gene,protein phosphatase 2C homolog 2/3
AGAP002268,protein coding gene,unspecified product
AGAP002269,protein coding gene,unspecified product
AGAP002270,protein coding gene,CLIP-domain serine protease
AGAP002272,protein coding gene,ankyrin
AGAP002273,protein coding gene,unspecified product
AGAP002274,protein coding gene,unspecified product
AGAP002275,protein coding gene,unspecified product
AGAP002276,protein coding gene,unspecified product
AGAP002277,protein coding gene,mitochondrial import inner membrane translocase subunit Tim13
AGAP002278,protein coding gene,ATP-binding cassette transporter (ABC transporter) family B member 1
AGAP002279,protein coding gene,Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q7QKD9]
AGAP002280,protein coding gene,mitochondrial carrier triple repeat protein 1
AGAP002281,protein coding gene,unspecified product
AGAP002282,protein coding gene,torso-like protein
AGAP002283,protein coding gene,peroxin 16
AGAP002284,protein coding gene,peptide alpha-N-acetyltransferase
AGAP002285,protein coding gene,unspecified product
AGAP002286,protein coding gene,unspecified product
AGAP002287,protein coding gene,protein O-GlcNAcase / histone acetyltransferase
AGAP002288,protein coding gene,hydroxymethylglutaryl-CoA reductase (NADPH)
AGAP002289,protein coding gene,unspecified product
AGAP002290,protein coding gene,negative elongation factor A
AGAP002291,protein coding gene,ebony
AGAP002292,protein coding gene,pyrokinin
AGAP002293,protein coding gene,intraflagellar transport 81 homolog
AGAP002294,protein coding gene,histidyl-tRNA synthetase
AGAP002295,protein coding gene,unspecified product
AGAP002296,protein coding gene,cytoplasmic polyadenylation element binding protein 2
AGAP002297,protein coding gene,unspecified product
AGAP002298,protein coding gene,unspecified product
AGAP002299,protein coding gene,XK-related protein [Source:UniProtKB/TrEMBL;Acc:Q7QBT4]
AGAP002300,protein coding gene,exosome complex exonuclease
AGAP002301,protein coding gene,bud site selection protein 31
AGAP002302,protein coding gene,crossover junction endonuclease
AGAP002305,protein coding gene,pre-mRNA-splicing factor
AGAP002306,protein coding gene,60S ribosomal protein L4
AGAP002307,protein coding gene,pre-mRNA-splicing factor 18
AGAP002308,protein coding gene,Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL;Acc:Q7QBU0]
AGAP002309,protein coding gene,WD repeat-containing protein on Y chromosome [Source:UniProtKB/Swiss-Prot;Acc:Q5TTP0]
AGAP002310,protein coding gene,protocadherin-15
AGAP002312,protein coding gene,unspecified product
AGAP002313,protein coding gene,unspecified product
AGAP002314,protein coding gene,unspecified product
AGAP002315,protein coding gene,autophagy related gene
AGAP002316,protein coding gene,unspecified product
AGAP002317,protein coding gene,amylase
AGAP002318,protein coding gene,Alpha-amylase [Source:UniProtKB/TrEMBL;Acc:Q7QBU5]
AGAP002320,protein coding gene,isochorismatase domain-containing protein
AGAP002321,protein coding gene,GLTSCR1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GEL0]
AGAP002322,protein coding gene,unspecified product
AGAP002323,protein coding gene,unspecified product
AGAP002324,protein coding gene,mitochondrial sodium/hydrogen exchanger NHA2
AGAP002325,protein coding gene,unspecified product
AGAP002326,protein coding gene,unspecified product
AGAP002327,protein coding gene,glucosyl/glucuronosyl transferases
AGAP002328,protein coding gene,unspecified product
AGAP002329,protein coding gene,carnitine O-octanoyltransferase
AGAP002330,protein coding gene,60S ribosome subunit biogenesis protein NIP7 homolog [Source:UniProtKB/TrEMBL;Acc:Q7QBV7]
AGAP002331,protein coding gene,sodium-independent sulfate anion transporter
AGAP002332,protein coding gene,"39S ribosomal protein L11, mitochondrial"
AGAP002333,protein coding gene,unspecified product
AGAP002334,protein coding gene,spastin
AGAP002335,protein coding gene,nucleolysin TIA-1/TIAR
AGAP002336,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GEM5]
AGAP002337,protein coding gene,Eukaryotic translation initiation factor 3 subunit D [Source:UniProtKB/Swiss-Prot;Acc:Q7QBW3]
AGAP002338,protein coding gene,vacuolar protein sorting 29
AGAP002339,protein coding gene,AN1-type zinc finger protein 2B
AGAP002340,protein coding gene,Eukaryotic translation initiation factor 3 subunit A [Source:UniProtKB/Swiss-Prot;Acc:Q7PGE8]
AGAP002341,protein coding gene,unspecified product
AGAP002342,protein coding gene,unspecified product
AGAP002344,protein coding gene,brain tumor protein
AGAP002345,protein coding gene,anaphase-promoting complex subunit 4
AGAP002346,protein coding gene,40S ribosomal protein S14b [Source:UniProtKB/Swiss-Prot;Acc:Q7QBX2]
AGAP002347,protein coding gene,N-acetylglucosamine-6-phosphate deacetylase [Source:UniProtKB/TrEMBL;Acc:Q7QBX3]
AGAP002348,protein coding gene,exosome complex component RRP45
AGAP002349,protein coding gene,piggyBac-derived 1
AGAP002350,protein coding gene,"troponin T, fast skeletal muscle"
AGAP002351,protein coding gene,nuclear pore complex protein Nup98-Nup96
AGAP002352,protein coding gene,unspecified product
AGAP002353,protein coding gene,lipase
AGAP002354,protein coding gene,EVI5-like protein
AGAP002355,protein coding gene,Glutamine synthetase [Source:UniProtKB/TrEMBL;Acc:Q7QBX9]
AGAP002356,protein coding gene,"parvin, beta"
AGAP002357,protein coding gene,vesicle transport protein GOT1B
AGAP002358,protein coding gene,"ADP,ATP carrier protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q7PQV7]"
AGAP002359,protein coding gene,carbonic anhydrase
AGAP002360,protein coding gene,carbonic anhydrase III
AGAP002361,protein coding gene,unspecified product
AGAP002362,protein coding gene,ribonuclease P protein subunit p20
AGAP002363,protein coding gene,unspecified product
AGAP002364,protein coding gene,MICOS complex subunit MIC60 [Source:UniProtKB/TrEMBL;Acc:F5HK71]
AGAP002365,protein coding gene,unspecified product
AGAP002366,protein coding gene,high affinity choline transporter
AGAP002367,protein coding gene,unspecified product
AGAP002368,ncRNA gene,unspecified product
AGAP002369,protein coding gene,vesicular acetylcholine transporter
AGAP002370,protein coding gene,choline O-acetyltransferase
AGAP002371,protein coding gene,unspecified product
AGAP002372,protein coding gene,"homeo domain only family, other"
AGAP002374,protein coding gene,heterogeneous nuclear ribonucleoprotein A1/A3
AGAP002375,protein coding gene,DNA-directed RNA polymerase I subunit RPA12
AGAP002376,protein coding gene,unspecified product
AGAP002377,protein coding gene,fatty-acid amide hydrolase 2
AGAP002378,protein coding gene,Adenylosuccinate lyase [Source:UniProtKB/TrEMBL;Acc:Q7QBZ6]
AGAP002379,protein coding gene,unspecified product
AGAP002381,protein coding gene,disintegrin and metalloproteinase domain-containing protein 17
AGAP002382,protein coding gene,unspecified product
AGAP002383,protein coding gene,methionyl-tRNA synthetase
AGAP002384,protein coding gene,tRNA (guanine10-N2)-methyltransferase
AGAP002385,protein coding gene,trafficking protein particle complex subunit 6
AGAP002386,protein coding gene,DnaJ homolog subfamily C member 14
AGAP002387,protein coding gene,acid phosphatase
AGAP002388,protein coding gene,Endonuclease III homolog [Source:UniProtKB/TrEMBL;Acc:Q7QC07]
AGAP002389,protein coding gene,ubiquitin-like 4A
AGAP002390,protein coding gene,unspecified product
AGAP002391,protein coding gene,carboxylesterase
AGAP002392,protein coding gene,"TBC1 domain family, member 7"
AGAP002393,protein coding gene,"solute carrier family 35 (GDP-fucose transporter), member C1"
AGAP002394,protein coding gene,DNA-directed RNA polymerase III subunit RPC3
AGAP002395,protein coding gene,60S ribosomal protein L10-2
AGAP002396,protein coding gene,dolichyl-diphosphooligosaccharide--protein glycosyltransferase
AGAP002397,protein coding gene,60 kDa lysophospholipase
AGAP002398,protein coding gene,unspecified product
AGAP002399,protein coding gene,unspecified product
AGAP002400,protein coding gene,"39S ribosomal protein L37, mitochondrial"
AGAP002401,protein coding gene,V-type H+-transporting ATPase subunit E
AGAP002402,protein coding gene,copper homeostasis protein
AGAP002403,protein coding gene,Nudix hydrolase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QC17]
AGAP002404,protein coding gene,cullin 5
AGAP002405,protein coding gene,unspecified product
AGAP002406,protein coding gene,COMM domain-containing protein 2
AGAP002407,protein coding gene,"28S ribosomal protein S18A, mitochondrial"
AGAP002408,protein coding gene,unspecified product
AGAP002409,protein coding gene,tRNA pseudouridine38-40 synthase
AGAP002411,protein coding gene,regulator of G-protein signaling
AGAP002412,protein coding gene,"39S ribosomal protein L45, mitochondrial"
AGAP002413,protein coding gene,Basic leucine zipper and W2 domain-containing protein 1
AGAP002414,protein coding gene,carboxypeptidase D
AGAP002415,protein coding gene,unspecified product
AGAP002416,protein coding gene,unspecified product
AGAP002417,protein coding gene,cytochrome P450
AGAP002418,protein coding gene,cytochrome P450
AGAP002419,protein coding gene,cytochrome P450
AGAP002420,protein coding gene,"alpha-1,2-glucosyltransferase"
AGAP002421,protein coding gene,unspecified product
AGAP002422,protein coding gene,CLIP-domain serine protease
AGAP002423,protein coding gene,unspecified product
AGAP002424,protein coding gene,"Sema domain, seven thrombospondin repeats (type 1 and type 1-like)"
AGAP002425,protein coding gene,cysteine sulfinic acid decarboxylase
AGAP002426,protein coding gene,Protein OPI10 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PRB5]
AGAP002427,protein coding gene,kinesin family member 3/17
AGAP002428,protein coding gene,unspecified product
AGAP002429,protein coding gene,cytochrome P450
AGAP002430,protein coding gene,adipokinetic hormone 2
AGAP002431,protein coding gene,unspecified product
AGAP002432,protein coding gene,chymotrypsin-like protease
AGAP002433,protein coding gene,unspecified product
AGAP002434,protein coding gene,unspecified product
AGAP002435,protein coding gene,lipopolysaccharide-induced TNF-alpha transcription factor (LITAF-like 5)
AGAP002436,protein coding gene,Kip1 ubiquitination-promoting complex protein 2
AGAP002437,protein coding gene,40S ribosomal protein S8 [Source:UniProtKB/TrEMBL;Acc:Q7QC42]
AGAP002438,protein coding gene,tyrosine-protein phosphatase non-receptor type 11
AGAP002439,protein coding gene,unspecified product
AGAP002440,protein coding gene,cell division cycle Cdc42 homolog
AGAP002441,protein coding gene,"Neprilysin, neutral endopeptidase 5 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GF43]"
AGAP002442,protein coding gene,unspecified product
AGAP002443,protein coding gene,G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PR87]
AGAP002444,protein coding gene,pteropsin
AGAP002445,protein coding gene,Cysteine-rich venom protein
AGAP002446,protein coding gene,unspecified product
AGAP002447,protein coding gene,unspecified product
AGAP002448,protein coding gene,unspecified product
AGAP002449,protein coding gene,3-OH androgenic UDPGT
AGAP002451,protein coding gene,Class B Scavenger Receptor (CD36 domain).
AGAP002453,protein coding gene,unspecified product
AGAP002454,protein coding gene,Golgi SNAP receptor complex member 1 [Source:UniProtKB/TrEMBL;Acc:Q7QC51]
AGAP002455,protein coding gene,unspecified product
AGAP002456,protein coding gene,unspecified product
AGAP002457,protein coding gene,unspecified product
AGAP002458,protein coding gene,unspecified product
AGAP002459,protein coding gene,unspecified product
AGAP002460,protein coding gene,forkhead box protein
AGAP002461,protein coding gene,unspecified product
AGAP002462,protein coding gene,long wavelength sensitive opsin
AGAP002463,protein coding gene,ubiquitin associated and SH3 domain-containing protein B
AGAP002464,protein coding gene,secreted ferritin G subunit
AGAP002465,protein coding gene,ferritin heavy chain
AGAP002466,protein coding gene,"potassium channel, subfamily K"
AGAP002468,protein coding gene,60S ribosomal protein L26
AGAP002469,protein coding gene,AP2-associated kinase
AGAP002470,protein coding gene,"39S ribosomal protein L27, mitochondrial"
AGAP002471,protein coding gene,ADP-ribosylation factor-like protein 16
AGAP002472,protein coding gene,DNA damage-binding protein 1
AGAP002473,protein coding gene,V-type proton ATPase subunit F [Source:UniProtKB/Swiss-Prot;Acc:Q17029]
AGAP002474,protein coding gene,cleavage and polyadenylation specificity factor subunit 2
AGAP002475,protein coding gene,unspecified product
AGAP002476,protein coding gene,unspecified product
AGAP002477,protein coding gene,"single-stranded DNA-binding protein, mitochondrial"
AGAP002478,protein coding gene,cyclin B
AGAP002480,protein coding gene,AN1-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GFP5]
AGAP002481,protein coding gene,26S proteasome 26S non-ATPase subunit N1
AGAP002482,protein coding gene,lysophosphatidylglycerol acyltransferase 1
AGAP002483,protein coding gene,ketohexokinase
AGAP002484,protein coding gene,Epidermal retinal dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A1S4GF86]
AGAP002485,protein coding gene,unspecified product
AGAP002486,protein coding gene,unspecified product
AGAP002487,protein coding gene,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GF07]
AGAP002488,protein coding gene,REST corepressor
AGAP002491,protein coding gene,unspecified product
AGAP002492,protein coding gene,nuclear respiratory factor 1
AGAP002493,protein coding gene,unspecified product
AGAP002494,protein coding gene,defective proboscis extension response 14
AGAP002495,protein coding gene,unspecified product
AGAP002496,protein coding gene,Von Hippel-Lindau disease tumor suppressor
AGAP002497,protein coding gene,unspecified product
AGAP002498,protein coding gene,vacuolar protein sorting 39
AGAP002499,protein coding gene,"methylmalonate-semialdehyde dehydrogenase (acylating), mitochondrial"
AGAP002500,protein coding gene,monothiol glutaredoxin
AGAP002501,protein coding gene,serine/threonine-protein phosphatase 4 regulatory subunit 2
AGAP002502,protein coding gene,translation initiation factor 4G
AGAP002503,protein coding gene,4-coumarate:CoA ligase
AGAP002504,protein coding gene,tRNA (cytosine34-C5)-methyltransferase
AGAP002505,protein coding gene,"voltage-dependent calcium channel alpha 1, invertebrate"
AGAP002506,protein coding gene,runt-related transcription factor
AGAP002507,protein coding gene,peroxin 3
AGAP002508,protein coding gene,protease m1 zinc metalloprotease
AGAP002509,protein coding gene,unspecified product
AGAP002510,protein coding gene,sarcolemmal associated protein
AGAP002511,protein coding gene,CUB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GF46]
AGAP002512,protein coding gene,protein FRG1
AGAP002513,protein coding gene,Defective in cullin neddylation protein [Source:UniProtKB/TrEMBL;Acc:Q7PGI3]
AGAP002514,protein coding gene,unspecified product
AGAP002515,protein coding gene,renal tumor antigen
AGAP002516,protein coding gene,unspecified product
AGAP002517,protein coding gene,unspecified product
AGAP002518,protein coding gene,delta-1-pyrroline-5-carboxylate synthetase
AGAP002519,protein coding gene,putative tyramine receptor
AGAP002520,protein coding gene,short-chain dehydrogenease/reductase
AGAP002521,protein coding gene,hydroxybutyrate dehydrogenase
AGAP002522,protein coding gene,cell cycle checkpoint control protein RAD9A
AGAP002523,protein coding gene,mediator of RNA polymerase II transcription subunit 12
AGAP002524,protein coding gene,unspecified product
AGAP002525,protein coding gene,eukaryotic translation initiation factor 2A
AGAP002526,protein coding gene,unspecified product
AGAP002527,protein coding gene,unspecified product
AGAP002528,protein coding gene,trafficking protein particle complex subunit 2
AGAP002529,protein coding gene,"phosphatidylinositol phospholipase C, epsilon"
AGAP002530,protein coding gene,poly(ADP-ribose) glycohydrolase ARH3
AGAP002531,protein coding gene,"taspase, threonine aspartase 1"
AGAP002532,protein coding gene,unspecified product
AGAP002533,protein coding gene,polycomb group RING finger protein 3
AGAP002534,protein coding gene,dihydropteridine reductase
AGAP002535,protein coding gene,serine/threonine-protein phosphatase PGAM5
AGAP002536,protein coding gene,unspecified product
AGAP002537,protein coding gene,bursicon
AGAP002538,protein coding gene,ESCRT-I complex subunit VPS37
AGAP002539,protein coding gene,integrator complex subunit 3
AGAP002540,protein coding gene,unspecified product
AGAP002541,protein coding gene,unspecified product
AGAP002542,protein coding gene,leucine-rich immune protein (Coil-less)
AGAP002543,protein coding gene,serine-type enodpeptidase
AGAP002544,protein coding gene,nuclear receptor subfamily 2 group F member 3
AGAP002546,protein coding gene,unspecified product
AGAP002547,protein coding gene,Nuclear cap-binding protein subunit 2 [Source:UniProtKB/Swiss-Prot;Acc:Q7QCB6]
AGAP002548,protein coding gene,unspecified product
AGAP002549,protein coding gene,nicalin homolog
AGAP002550,protein coding gene,unspecified product
AGAP002551,protein coding gene,glucose dehydrogenase (acceptor)
AGAP002552,protein coding gene,glucose dehydrogenase (acceptor)
AGAP002553,protein coding gene,unspecified product
AGAP002554,protein coding gene,DiGeorge syndrome critical region gene 8
AGAP002555,protein coding gene,cytochrome P450
AGAP002556,protein coding gene,odorant-binding protein 66
AGAP002557,protein coding gene,glucose dehydrogenase (acceptor)
AGAP002558,protein coding gene,odorant receptor 40
AGAP002559,protein coding gene,alpha-tocopherol transfer protein-like protein
AGAP002560,protein coding gene,"odorant receptor obligate co-receptor (Orco, Or7)"
AGAP002561,ncRNA gene,unspecified product
AGAP002562,ncRNA gene,unspecified product
AGAP002563,protein coding gene,Ras-like protein family member 10B precursor
AGAP002564,protein coding gene,fructose biphosphate aldolase
AGAP002566,protein coding gene,putative histamine receptor
AGAP002567,protein coding gene,hormone-sensitive lipase
AGAP002568,protein coding gene,Nat13 protein
AGAP002569,protein coding gene,serine incorporator 1
AGAP002570,protein coding gene,glutamyl-tRNA synthetase
AGAP002571,protein coding gene,solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter)
AGAP002572,protein coding gene,unspecified product
AGAP002573,protein coding gene,GTPase-activating Rap/Ran-GAP domain-like protein 3
AGAP002575,protein coding gene,unspecified product
AGAP002576,protein coding gene,unspecified product
AGAP002577,protein coding gene,voltage-dependent p/q type calcium channel
AGAP002578,protein coding gene,unspecified product
AGAP002580,protein coding gene,DNA helicase
AGAP002581,protein coding gene,unspecified product
AGAP002582,protein coding gene,unspecified product
AGAP002583,protein coding gene,unspecified product
AGAP002585,protein coding gene,unspecified product
AGAP002586,protein coding gene,glycogen(starch) synthase
AGAP002587,protein coding gene,unspecified product
AGAP002588,protein coding gene,unspecified product
AGAP002589,protein coding gene,"dynein light intermediate chain 1, cytosolic"
AGAP002590,ncRNA gene,unspecified product
AGAP002591,protein coding gene,unspecified product
AGAP002592,protein coding gene,outer membrane lipoprotein Blc
AGAP002593,protein coding gene,outer membrane lipoprotein Blc
AGAP002594,protein coding gene,apolipoprotein D
AGAP002595,protein coding gene,outer mitochondrial translocase subunit
AGAP002596,protein coding gene,Metalloendopeptidase [Source:UniProtKB/TrEMBL;Acc:Q7QCE7]
AGAP002597,protein coding gene,proteasome activator subunit 4
AGAP002598,protein coding gene,unspecified product
AGAP002599,protein coding gene,polyubiquitin
AGAP002600,protein coding gene,tRNA nucleotidyltransferase (CCA-adding enzyme)
AGAP002601,protein coding gene,nervous fingers
AGAP002602,protein coding gene,unspecified product
AGAP002603,protein coding gene,elongation factor 1 alpha-like protein
AGAP002604,protein coding gene,unspecified product
AGAP002605,protein coding gene,DNA-repair protein XRCC1
AGAP002606,protein coding gene,26S proteasome 26S non-ATPase subunit N12
AGAP002607,protein coding gene,unspecified product
AGAP002608,protein coding gene,Ribokinase [Source:UniProtKB/TrEMBL;Acc:Q7QCF9]
AGAP002609,protein coding gene,unspecified product
AGAP002610,protein coding gene,unspecified product
AGAP002612,protein coding gene,cuticular protein RR-1 family 7
AGAP002613,protein coding gene,cuticular protein RR-1 family 8
AGAP002614,protein coding gene,"splicing factor, arginine/serine-rich 16"
AGAP002615,protein coding gene,unspecified product
AGAP002616,protein coding gene,unspecified product
AGAP002617,protein coding gene,unspecified product
AGAP002618,protein coding gene,symplekin
AGAP002619,protein coding gene,unspecified product
AGAP002620,protein coding gene,mating-induced stimulator of oogenesis MISO
AGAP002621,protein coding gene,unspecified product
AGAP002622,protein coding gene,sodium-coupled monocarboxylate transporter 1
AGAP002623,protein coding gene,tubulin polyglutamylase TTLL6/13
AGAP002624,protein coding gene,"solute carrier family 39 (zinc transporter), member 1/2/3"
AGAP002625,protein coding gene,C-type lectin (CTL)
AGAP002626,protein coding gene,rhomboid-like protein
AGAP002627,protein coding gene,S-formylglutathione hydrolase [Source:UniProtKB/TrEMBL;Acc:Q7QCH6]
AGAP002628,protein coding gene,opioid binding protein/cell adhesion molecule-like
AGAP002629,protein coding gene,unspecified product
AGAP002630,protein coding gene,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 2
AGAP002631,protein coding gene,unspecified product
AGAP002632,protein coding gene,unspecified product
AGAP002633,protein coding gene,gustatory receptor 53
AGAP002634,protein coding gene,membrane dipeptidase
AGAP002635,protein coding gene,gustatory receptor 13
AGAP002636,protein coding gene,unspecified product
AGAP002637,protein coding gene,unspecified product
AGAP002638,protein coding gene,ATP-binding cassette transporter (ABC transporter) family H member 1
AGAP002639,protein coding gene,odorant receptor 39
AGAP002640,protein coding gene,odorant receptor 38
AGAP002641,protein coding gene,unspecified product
AGAP002642,protein coding gene,DNA mismatch repair protein MSH5
AGAP002643,protein coding gene,unspecified product
AGAP002644,protein coding gene,phospholipid-translocating ATPase
AGAP002645,protein coding gene,septin 2
AGAP002646,protein coding gene,cyclin-dependent kinase 7
AGAP002647,protein coding gene,phosphorylase kinase gamma subunit
AGAP002648,protein coding gene,rapsynoid
AGAP002649,protein coding gene,unspecified product
AGAP002650,protein coding gene,unspecified product
AGAP002651,protein coding gene,inhibitor of apoptosis 6
AGAP002652,protein coding gene,unspecified product
AGAP002653,protein coding gene,phenylalanyl-tRNA synthetase alpha chain
AGAP002654,protein coding gene,unspecified product
AGAP002655,protein coding gene,unspecified product
AGAP002656,protein coding gene,general transcription factor 3C polypeptide 1
AGAP002657,protein coding gene,unspecified product
AGAP002658,protein coding gene,small nuclear ribonucleoprotein polypeptide F
AGAP002659,protein coding gene,solute carrier family 10 (sodium/bile acid cotransporter)
AGAP002660,ncRNA gene,unspecified product
AGAP002661,protein coding gene,"delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase"
AGAP002662,protein coding gene,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QCJ7]
AGAP002663,protein coding gene,unspecified product
AGAP002664,protein coding gene,Mediator of RNA polymerase II transcription subunit 27 [Source:UniProtKB/Swiss-Prot;Acc:Q7QCJ9]
AGAP002665,protein coding gene,vacuolar protein sorting 11
AGAP002666,protein coding gene,dolichyldiphosphatase
AGAP002667,protein coding gene,Translationally-controlled tumor protein homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QCK2]
AGAP002669,protein coding gene,flap endonuclease
AGAP002670,protein coding gene,ZZ-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GFL1]
AGAP002671,protein coding gene,"beta-1,3-galactosyltransferase 1"
AGAP002672,protein coding gene,unspecified product
AGAP002673,ncRNA gene,unspecified product
AGAP002674,protein coding gene,dolichyl-phosphate-mannose-protein mannosyltransferase
AGAP002677,protein coding gene,coiled-coil domain-containing protein lobo homolog
AGAP002678,protein coding gene,FERM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GFT9]
AGAP002680,protein coding gene,serologically defined colon cancer antigen 1
AGAP002683,protein coding gene,dolichol kinase
AGAP002684,protein coding gene,ribosomal RNA-processing protein 1
AGAP002685,protein coding gene,autophagy related gene
AGAP002686,protein coding gene,"5'-AMP-activated protein kinase, catalytic alpha subunit"
AGAP002687,protein coding gene,ATP-dependent RNA helicase DHX37/DHR1
AGAP002689,protein coding gene,unspecified product
AGAP002690,protein coding gene,ATP-dependent DNA helicase 2 subunit 1
AGAP002691,protein coding gene,arrestin domain containing 2
AGAP002692,protein coding gene,unspecified product
AGAP002693,protein coding gene,ATP-binding cassette transporter (ABC transporter) family F member 1
AGAP002695,protein coding gene,unspecified product
AGAP002696,ncRNA gene,unspecified product
AGAP002697,ncRNA gene,unspecified product
AGAP002698,ncRNA gene,unspecified product
AGAP002699,ncRNA gene,unspecified product
AGAP002700,ncRNA gene,unspecified product
AGAP002701,ncRNA gene,unspecified product
AGAP002702,protein coding gene,unspecified product
AGAP002703,protein coding gene,unspecified product
AGAP002704,protein coding gene,solute carrier family 25
AGAP002705,protein coding gene,unspecified product
AGAP002706,protein coding gene,small nuclear ribonucleoprotein G
AGAP002707,protein coding gene,defective proboscis extension response 18
AGAP002708,protein coding gene,unspecified product
AGAP002709,protein coding gene,unspecified product
AGAP002710,protein coding gene,unspecified product
AGAP002711,protein coding gene,"stardust, isoform B"
AGAP002712,protein coding gene,unspecified product
AGAP002713,protein coding gene,"39S ribosomal protein L49, mitochondrial"
AGAP002715,protein coding gene,unspecified product
AGAP002717,protein coding gene,ATP-binding cassette transporter (ABC transporter) family B member 5
AGAP002718,protein coding gene,4-coumarate:CoA ligase isoform 2 [Source:UniProtKB/TrEMBL;Acc:Q7QCM8]
AGAP002719,protein coding gene,"potassium voltage-gated channel Eag-related subfamily H, invertebrate"
AGAP002720,protein coding gene,cathepsin O
AGAP002721,protein coding gene,"Tryptophan 2,3-dioxygenase [Source:UniProtKB/Swiss-Prot;Acc:O77457]"
AGAP002722,protein coding gene,odorant receptor 28
AGAP002723,protein coding gene,unspecified product
AGAP002724,protein coding gene,unspecified product
AGAP002725,protein coding gene,unspecified product
AGAP002726,protein coding gene,cuticular protein RR-1 family 9
AGAP002727,protein coding gene,unspecified product
AGAP002728,protein coding gene,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial [Source:UniProtKB/TrEMBL;Acc:F5HKN6]"
AGAP002729,protein coding gene,Ras GTPase-activating protein 1
AGAP002730,protein coding gene,iron-sulfur cluster assembly protein
AGAP002731,protein coding gene,protein prenyltransferase alpha subunit repeat containing protein 1
AGAP002732,protein coding gene,unspecified product
AGAP002733,protein coding gene,unspecified product
AGAP002734,protein coding gene,unspecified product
AGAP002735,protein coding gene,histone acetyltransferase MYST4
AGAP002736,protein coding gene,unspecified product
AGAP002737,protein coding gene,unspecified product
AGAP002738,protein coding gene,Class B Scavenger Receptor (CD36 domain).
AGAP002739,protein coding gene,unspecified product
AGAP002740,protein coding gene,FAD synthetase
AGAP002741,protein coding gene,histone-lysine N-methyltransferase MLL1
AGAP002742,protein coding gene,dynactin 3
AGAP002743,protein coding gene,unspecified product
